t_gene	t_transcript	q_gene	q_transcript	orthology_class	V1	V3	orthology_grade
ENSG00000140718	ENST00000354533.FTO	reg_1001	ENST00000354533.FTO.101	one2one	GENE	I	A
ENSG00000140718	ENST00000354533.FTO	reg_1001	ENST00000354533.FTO.102	one2one	GENE	I	A
ENSG00000182396	ENST00000328928.GNPDA2	reg_1002	ENST00000328928.GNPDA2.201	one2one	GENE	I	A
ENSG00000068394	ENST00000255641.TMEM18	reg_1003	ENST00000255641.TMEM18.301	one2one	GENE	I	B
ENSG00000166603	ENST00000299766.MC4R	reg_1004	ENST00000299766.MC4R.401	one2one	GENE	I	A
ENSG00000174697	ENST00000308868.LEP	reg_1005	ENST00000308868.LEP.501	one2one	GENE	I	A
ENSG00000148737	ENST00000355995.TCF7L2	reg_1006	ENST00000355995.TCF7L2.601	one2one	GENE	I	A
ENSG00000169174	ENST00000302118.PCSK9	reg_1007	ENST00000302118.PCSK9.701	one2one	GENE	I	B
ENSG00000130164	ENST00000252444.LDLR	reg_1008	ENST00000252444.LDLR.801	one2one	GENE	I	A
ENSG00000106258	ENST00000222982.CYP3A5	reg_3213	ENST00000222982.CYP3A5.818	many2many	GENE	I	C
ENSG00000021461	ENST00000222382.CYP3A43	reg_3213	ENST00000222382.CYP3A43.1699	many2many	GENE	I	C
ENSG00000021461	ENST00000354829.CYP3A43	reg_3213	ENST00000354829.CYP3A43.71	many2many	GENE	I	C
ENSG00000012048	ENST00000357654.BRCA1	reg_2001	ENST00000357654.BRCA1.901	one2one	GENE	I	A
ENSG00000139618	ENST00000380152.BRCA2	reg_2002	ENST00000380152.BRCA2.1001	one2one	GENE	I	A
ENSG00000141510	ENST00000269305.TP53	reg_2003	ENST00000269305.TP53.1101	one2one	GENE	I	A
